,number,value,datetime_start,datetime_complete,duration,params_kernel_size,params_learning_rate,params_n_additional_layers,params_n_dense,params_n_filters,state
0,0,0.2842192053794861,2021-08-08 23:16:36.924863,2021-08-08 23:24:38.134794,0 days 00:08:01.209931,2,0.08297434276188169,3,512,64,COMPLETE
1,1,0.2854475975036621,2021-08-08 23:24:38.138033,2021-08-08 23:25:43.937535,0 days 00:01:05.799502,2,0.03137668680914901,4,64,16,COMPLETE
2,2,0.2839741110801697,2021-08-08 23:25:43.939029,2021-08-08 23:40:29.929812,0 days 00:14:45.990783,3,0.08165811926773037,6,128,64,COMPLETE
3,3,0.28382623195648193,2021-08-08 23:40:29.931334,2021-08-08 23:57:08.917692,0 days 00:16:38.986358,2,0.033119522569584225,2,64,128,COMPLETE
4,4,0.283743679523468,2021-08-08 23:57:08.918944,2021-08-09 00:24:34.586071,0 days 00:27:25.667127,2,0.07866483987802604,7,512,128,COMPLETE
5,5,0.28435343503952026,2021-08-09 00:24:34.587197,2021-08-09 01:31:35.992844,0 days 01:07:01.405647,4,0.0657592713675746,8,512,128,COMPLETE
6,6,0.009776211343705654,2021-08-09 01:31:35.994046,2021-08-09 01:38:11.299142,0 days 00:06:35.305096,3,0.0009604019678837589,8,1024,32,COMPLETE
7,7,0.004591594450175762,2021-08-09 01:38:11.300479,2021-08-09 01:45:39.492239,0 days 00:07:28.191760,4,0.0026956525511858537,0,1024,32,COMPLETE
8,8,0.010325956158339977,2021-08-09 01:45:39.493656,2021-08-09 01:53:10.352833,0 days 00:07:30.859177,4,0.006334552073273141,0,1024,32,COMPLETE
9,9,0.28407472372055054,2021-08-09 01:53:10.354284,2021-08-09 01:59:46.425725,0 days 00:06:36.071441,4,0.031555005803606456,0,256,32,COMPLETE
10,10,0.28396692872047424,2021-08-09 01:59:46.426950,2021-08-09 02:02:55.518909,0 days 00:03:09.091959,4,0.049653166308701424,2,1024,16,COMPLETE
11,11,0.007298632990568876,2021-08-09 02:02:55.520153,2021-08-09 02:09:15.448650,0 days 00:06:19.928497,3,0.0011747291885209987,5,1024,32,COMPLETE
12,12,0.2856407165527344,2021-08-09 02:09:15.450037,2021-08-09 02:15:34.711623,0 days 00:06:19.261586,3,0.014348686266250311,5,1024,32,COMPLETE
13,13,0.2842367887496948,2021-08-09 02:15:34.713200,2021-08-09 02:21:58.440674,0 days 00:06:23.727474,3,0.016493879209707442,5,1024,32,COMPLETE
14,14,0.2839433252811432,2021-08-09 02:21:58.442670,2021-08-09 02:26:59.148483,0 days 00:05:00.705813,3,0.09904086975998458,2,128,32,COMPLETE
15,15,0.28464019298553467,2021-08-09 02:26:59.150027,2021-08-09 02:35:21.688608,0 days 00:08:22.538581,4,0.019397623034804884,4,256,32,COMPLETE
16,16,0.2840271592140198,2021-08-09 02:35:21.691521,2021-08-09 02:41:09.914014,0 days 00:05:48.222493,3,0.04469411507370205,1,1024,32,COMPLETE
17,17,0.039904698729515076,2021-08-09 02:41:09.916399,2021-08-09 03:05:48.372455,0 days 00:24:38.456056,4,0.00033483836497983505,6,1024,64,COMPLETE
18,18,0.28401440382003784,2021-08-09 03:05:48.374072,2021-08-09 03:08:00.285177,0 days 00:02:11.911105,3,0.02381364496601019,3,1024,16,COMPLETE
19,19,0.28375187516212463,2021-08-09 03:08:00.287019,2021-08-09 03:13:38.485196,0 days 00:05:38.198177,3,0.060754129851073126,5,128,32,COMPLETE
20,20,0.2837919592857361,2021-08-09 03:13:38.488143,2021-08-09 03:20:51.014173,0 days 00:07:12.526030,4,0.009930099879058733,1,256,32,COMPLETE
21,21,0.058839671313762665,2021-08-09 03:20:51.015844,2021-08-09 03:27:25.105300,0 days 00:06:34.089456,3,0.0010633324466703582,8,1024,32,COMPLETE
22,22,0.28512489795684814,2021-08-09 03:27:25.107061,2021-08-09 03:33:54.878024,0 days 00:06:29.770963,3,0.008383049678619903,7,1024,32,COMPLETE
23,23,0.2839244306087494,2021-08-09 03:33:54.879537,2021-08-09 03:40:25.214891,0 days 00:06:30.335354,3,0.02244416681670705,7,1024,32,COMPLETE
24,24,0.2392301857471466,2021-08-09 03:40:25.216273,2021-08-09 03:43:05.007619,0 days 00:02:39.791346,2,0.0001093976413619642,6,64,32,COMPLETE
25,25,0.2842046618461609,2021-08-09 03:43:05.008550,2021-08-09 03:49:11.377030,0 days 00:06:06.368480,3,0.038756059612589454,3,1024,32,COMPLETE
26,26,0.2837119400501251,2021-08-09 03:49:11.378603,2021-08-09 04:14:35.131649,0 days 00:25:23.753046,4,0.011378347784876766,8,1024,64,COMPLETE
27,27,0.2838098704814911,2021-08-09 04:14:35.133509,2021-08-09 04:16:37.102915,0 days 00:02:01.969406,3,0.021524501721497117,1,1024,16,COMPLETE
28,28,0.3618491291999817,2021-08-09 04:16:37.103592,2021-08-09 04:57:30.423603,0 days 00:40:53.320011,3,0.005974315661981226,5,1024,128,COMPLETE
29,29,0.2838864028453827,2021-08-09 04:57:30.425211,2021-08-09 05:05:56.317670,0 days 00:08:25.892459,2,0.02675562137462046,4,512,64,COMPLETE
30,30,0.2837173342704773,2021-08-09 05:05:56.319317,2021-08-09 05:13:52.346916,0 days 00:07:56.027599,4,0.06005424872460493,3,64,32,COMPLETE
31,31,0.28379279375076294,2021-08-09 05:13:52.348522,2021-08-09 05:21:15.438187,0 days 00:07:23.089665,4,0.006511756381455322,0,1024,32,COMPLETE
32,32,0.28393688797950745,2021-08-09 05:21:15.440145,2021-08-09 05:28:44.330139,0 days 00:07:28.889994,4,0.013231159146622918,0,1024,32,COMPLETE
33,33,0.0027272843290120363,2021-08-09 05:28:44.334264,2021-08-09 05:36:41.141357,0 days 00:07:56.807093,4,0.0025347371631690265,1,1024,32,COMPLETE
34,34,0.0010862365597859025,2021-08-09 05:36:41.143085,2021-08-09 05:42:28.062275,0 days 00:05:46.919190,3,0.004069808689405242,1,1024,32,COMPLETE
35,35,0.2845672369003296,2021-08-09 05:42:28.063221,2021-08-09 05:45:01.048486,0 days 00:02:32.985265,4,0.01661152211537006,1,128,16,COMPLETE
36,36,0.28389912843704224,2021-08-09 05:45:01.049854,2021-08-09 06:03:02.163725,0 days 00:18:01.113871,2,0.03789387745058662,2,512,128,COMPLETE
37,37,0.2837551236152649,2021-08-09 06:03:02.165366,2021-08-09 06:13:24.247840,0 days 00:10:22.082474,3,0.028684391520291064,1,64,64,COMPLETE
38,38,0.13843278586864471,2021-08-09 06:13:24.249507,2021-08-09 06:21:02.898579,0 days 00:07:38.649072,4,0.0058966443778215635,2,256,32,COMPLETE
39,39,0.28387022018432617,2021-08-09 06:21:02.900288,2021-08-09 06:45:31.982967,0 days 00:24:29.082679,3,0.011441540161307169,0,1024,128,COMPLETE
40,40,0.001387441880069673,2021-08-09 06:45:31.984983,2021-08-09 06:48:27.721900,0 days 00:02:55.736917,2,0.004608103943852186,3,512,32,COMPLETE
41,41,4.045528112328611e-05,2021-08-09 06:48:27.724974,2021-08-09 06:51:20.903024,0 days 00:02:53.178050,2,0.00414899434357157,3,512,32,COMPLETE
42,42,0.02488517202436924,2021-08-09 06:51:20.903722,2021-08-09 06:54:21.083530,0 days 00:03:00.179808,2,0.005992001441296333,4,512,32,COMPLETE
43,43,0.28380706906318665,2021-08-09 06:54:21.084637,2021-08-09 06:57:13.915561,0 days 00:02:52.830924,2,0.01649288508669363,3,512,32,COMPLETE
44,44,0.0009105753269977868,2021-08-09 06:57:13.916978,2021-08-09 06:59:58.554906,0 days 00:02:44.637928,2,0.004234897932792578,2,512,32,COMPLETE
45,45,0.2843853235244751,2021-08-09 06:59:58.555610,2021-08-09 07:02:42.522592,0 days 00:02:43.966982,2,0.07740848102542736,2,512,32,COMPLETE
46,46,0.2872152626514435,2021-08-09 07:02:42.524564,2021-08-09 07:05:34.205965,0 days 00:02:51.681401,2,0.011086047603000988,3,512,32,COMPLETE
47,47,5.482655978994444e-05,2021-08-09 07:05:34.207357,2021-08-09 07:08:24.154475,0 days 00:02:49.947118,2,0.0036656337692148153,2,512,32,COMPLETE
48,48,0.2839567959308624,2021-08-09 07:08:24.158156,2021-08-09 07:09:41.192982,0 days 00:01:17.034826,2,0.01862774899008624,2,512,16,COMPLETE
49,49,0.28378942608833313,2021-08-09 07:09:41.194057,2021-08-09 07:12:40.697847,0 days 00:02:59.503790,2,0.03523784045163171,4,512,32,COMPLETE
50,50,0.002624345710501075,2021-08-09 07:12:40.699479,2021-08-09 07:30:56.999269,0 days 00:18:16.299790,2,0.004446377843828741,2,512,128,COMPLETE
